NAME,Smiles
d65,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)C4=C3)O[C@@]21O
d66,CN(C)CCC[C@]1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
d67,ClC1=CC2=C(C=C1)N1C=NN=C1CN=C2C1=CC=CC=C1
d68,CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1
d69,CCC1(C)CC(=O)NC1=O
d70,CCN1C(=O)NC(C1=O)C1=CC=CC=C1
d71,CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1
d72,CCOC(=O)NC1=C(N)C=C(NCC2=CC=C(F)C=C2)C=C1
d73,NC(=O)OCC(COC(N)=O)C1=CC=CC=C1
d74,CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1
d75,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1
d76,CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(OC(=O)C(C)C)C=CC(CO)=C1)C(C)C
d77,CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1
d78,CCOC(=O)C1=C2CN(C)C(=O)C3=C(C=CC(F)=C3)N2C=N1
d79,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1
d80,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1
d81,CCN(CC)CCN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F
d82,CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1
d83,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F
d84,C[C@@H](O[C@H]1OCCN(CC2=NC(=O)N(N2)P(O)(O)=O)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
d85,OP(O)(=O)OCN1C(=O)NC(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1
d86,CN[C@@H]1CCC2=C(C1)C1=C(N2)C=CC(=C1)C(N)=O
d87,NCC1(CC(O)=O)CCCCC1
d88,[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=C1C(O2)=C(OC)C=C3
d89,CN1N=C(C(=O)NC2CC3CCCC(C2)N3C)C2=CC=CC=C12
d90,NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl
d91,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
d92,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O
d93,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O
d94,OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
d95,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O
d96,COC1=C(OCCCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C=CC(=C1)C(C)=O
d97,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12
d98,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O
d99,CNC(C)CCC=C(C)C
d100,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1
d101,OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1
d102,COC[C@@H](NC(C)=O)C(=O)NCC1=CC=CC=C1
d103,NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1
d104,CC[C@@H](N1CCCC1=O)C(N)=O
d105,N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O
d106,[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2
d107,C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CCCCN
d108,[Li+]
d109,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2
d110,CN1CCN(CC1)C1=NC2=CC=CC=C2OC2=C1C=C(Cl)C=C2
d111,O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(CC1)C1=NSC2=CC=CC=C12
d112,CNCCCC12CCC(C3=CC=CC=C13)C1=CC=CC=C21
d113,CC1=CC(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)=CC=C1
d114,CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O
d115,CC12CC3CC(C)(C1)CC(N)(C3)C2
d116,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1
d117,CC1=CC(OCC2CNC(=O)O2)=CC(C)=C1
d118,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1
d119,CN[C@@H](C)CC1=CC=CC=C1
d120,COC1=CC=CC=C1OCC(O)COC(N)=O
d121,CN1C(=O)CC(C)(C1=O)C1=CC=CC=C1
d122,COC(=O)C(C1CCCCN1)C1=CC=CC=C1
d123,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
d124,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C1=CC=CC=C1
d125,NC1=NC(CC(=O)NC2=CC=C(CCNC[C@H](O)C3=CC=CC=C3)C=C2)=CS1
d126,CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1
d127,CCCCC(C)(O)C\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC
d128,NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
d129,CCC1=C(C)NC2=C1C(=O)C(CN1CCOCC1)CC2
d130,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O
d131,[H][C@@]12CC(=O)CC[C@@]1([H])C(C)(C)OC1=CC(=CC(O)=C21)C(C)(C)CCCCCC
d132,COC1=CC2=C(C=C1)C=C(CCC(C)=O)C=C2
d133,O[C@H]1CC[C@@]2(O)[C@H]3CC4=CC=C(O)C5=C4[C@@]2(CCN3CC2CCC2)[C@H]1O5
d134,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC=C)[C@]([H])(C4)[C@]1(O)CCC2=O
d135,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O
d136,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O
d137,CNS(=O)(=O)CCC1=CC2=C(NC=C2C2CCN(C)CC2)C=C1
d138,CCC1=NN(CCCN2CCN(CC2)C2=CC(Cl)=CC=C2)C(=O)N1CCOC1=CC=CC=C1
d139,CN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C
d140,CN1CCCC1C1=CN=CC=C1
d141,COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C
d142,CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12
d143,CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2
d144,CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2
d145,CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1C
d146,OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1
d147,OC1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2
d148,NC(=O)N1C2=CC=CC=C2CC(=O)C2=CC=CC=C12
d149,CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
d150,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1(O)CCC2=O
d151,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1(O)CCC2=O
d152,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCC(O)C2=N1
d153,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1
d154,C[C@H]1[C@H]2CC3=CC=C(O)C=C3[C@]1(C)CCN2CC=C(C)C
d155,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
d156,NNCCC1=CC=CC=C1
d157,CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1
d158,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1
d159,FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=CC=CC=C12)C1=CC=C(F)C=C1
d160,CN1C(C(=O)NC2=NC=CC=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O
d161,CCCN[C@H]1CCC2=C(C1)SC(N)=N2
d162,CC(C)C[C@H](CN)CC(O)=O
d163,CCC1(C(=O)NCNC1=O)C1=CC=CC=C1
d164,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
d165,CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C
d166,CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12
d167,CN(C)C(=O)OC1=C[N+](C)=CC=C1
d168,OCCOCCN1CCN(CC1)C1=NC2=CC=CC=C2SC2=CC=CC=C12
d169,[H][C@@]12CCN(C[C@@H]1C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1
d170,CCC(=O)NCC[C@@H]1CCC2=C1C1=C(OCC1)C=C2
d171,C#CCN[C@@H]1CCC2=CC=CC=C12
d172,CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC(=O)OC)CC1)C(=O)OC
d173,NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2
d174,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1
d175,CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C
d176,CN(C)CCC1=CNC2=C1C=C(CN1C=NC=N1)C=C2
d177,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
d178,CCCN(CCC1=CC=CS1)C1CCC2=C(C1)C=CC=C2O
d179,NC(=O)C1=CN(CC2=C(F)C=CC=C2F)N=N1
d180,OC(=O)C1=CC=CC=C1OC(=O)C1=CC=CC=C1O
d181,CC(CC1=CC=CC=C1)N(C)CC#C
d182,CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12
d183,OC(=O)CCC(O)=O.O=C(O[C@H]1CN2CCC1CC2)N1CCC2=CC=CC=C2[C@@H]1C1=CC=CC=C1
d184,CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1
d185,CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)=O
d186,CNS(=O)(=O)CC1=CC2=C(NC=C2CCN(C)C)C=C1
d187,CC[C@H]([C@@H](C)CN(C)C)C1=CC(O)=CC=C1
d188,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1
d189,COC1=C(OC)C=C2C3CC(=O)C(CC(C)C)CN3CCC2=C1
d190,CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1
d191,CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3\C2=C\CCN2CCN(C)CC2)C=C1
d192,CC1=C(SC=C1)C(=CCCN1CCC[C@H](C1)C(O)=O)C1=C(C)C=CS1
d193,ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1
d194,CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O
d195,CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1
d196,CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(O)C=CC(C)=C1)C(C)C
d197,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2
d198,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C
d199,N[C@@H]1CC1C1=CC=CC=C1
d200,ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1
d201,CC1=NN=C2CN=C(C3=CC=CC=C3Cl)C3=C(C=CC(Cl)=C3)N12
d202,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1
d203,OC(CCN1CCCCC1)(C1CCCCC1)C1=CC=CC=C1
d204,COC1=CC(=CC(OC)=C1OC)C(=O)NCC1=CC=C(OCCN(C)C)C=C1
d205,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12
d206,OC(C(=O)OC1CC2CCC(C1)[N+]21CCCC1)(C1=CC=CC=C1)C1=CC=CC=C1
d207,[H][C@]12C[C@]([H])(CNC1)C1=CC3=NC=CN=C3C=C21
d208,COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1
d209,NC(CCC(O)=O)C=C
d210,NC(=O)C1=CC2=C(O1)C=CC(=C2)N1CCN(CCCCC2=CNC3=C2C=C(C=C3)C#N)CC1
d211,CCN(C(C)=O)C1=CC=CC(=C1)C1=CC=NC2=C(C=NN12)C#N
d212,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1
d213,CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=O)N3)C=C12
d214,CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1
d215,NS(=O)(=O)CC1=NOC2=CC=CC=C12
