NAME,SMILES
np81,OC[C@@H](O)COP(O)(O)=O
np82,O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O
np83,NC(=N)NCC(O)=O
np84,OC(=O)CC1=C(O)C=CC(O)=C1
np85,OCC(O)CO
np86,NC1=NC(=O)C2=C(N1)N=CN2
np87,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1
np88,OC(=O)\C=C\C(O)=O
np89,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)CC2C[C@H](O)CC[C@]12C
np90,OC[C@@H](O)C(O)=O
np91,CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@@H]1O[C@H](CO)C(O)[C@H](O)[C@H]1O)[C@H](O)\C=C\CCCCCCCCCCCCC
np92,OC=O
np93,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
np94,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
np95,N[C@@H](CCC(O)=O)C(O)=O
np96,NCCO
np97,OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O
np98,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
np99,OC(=O)C1=C(O)C=CC(O)=C1
np100,[H][C@@]12C[C@@H](O)[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
np101,O[C@@H](CC(O)=O)C(O)=O
np102,OC1=NC=NC2=C1NC=N2
np103,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O
np104,N[C@@H](CC1=CC=CC=C1)C(O)=O
np105,C[C@H](N)C(O)=O
np106,OC(=O)[C@@H]1CCCN1
np107,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
np108,CN
np109,C[C@@H](O)[C@H](N)C(O)=O
np110,N[C@@H](CC(N)=O)C(O)=O
np111,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O
np112,CC[C@H](C)[C@H](N)C(O)=O
np113,C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O
np114,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O
np115,OC(=O)\C=C/C(O)=O
np116,N[C@@H](CC1=CN=CN1)C(O)=O
np117,N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O
np118,NCCCC[C@H](N)C(O)=O
np119,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O
np120,N[C@@H](CO)C(O)=O
np121,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2O
np122,C[C@H](O)C(O)=O
np123,N[C@@H](CC(O)=O)C(O)=O
np124,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
np125,OC(C(CC(O)=O)C(O)=O)C(O)=O
np126,CN1C=NC=C1C[C@H](NC(=O)CCN)C(O)=O
np127,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1NC=NC2=O
np128,OC(=O)CC1=CNC2=C1C=CC=C2
np129,CC(=O)OC(CC([O-])=O)C[N+](C)(C)C
np130,CC(C(O)=O)C(O)=O
np131,OC(=O)C(=O)CC1=CC=CC=C1
np132,CC(=O)NCCCC[C@H](N)C(O)=O
np133,CCCCCCCC\C=C/CCCCCCCC(O)=O
np134,OC(=O)CCC(=O)C(O)=O
np135,OC(=O)CC1=CC=CC=C1
np136,CC(C)(CO)C(O)C(=O)NCCC(O)=O
np137,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O
np138,CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O
np139,O[C@H]1[C@H](O)[C@H](O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1O
np140,NCCC[C@H](N)C(O)=O
np141,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
np142,NC[C@H](O)C1=CC(O)=C(O)C=C1
np143,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
np144,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O
np145,CCCCCCCCCCCCCCCC(O)=O
np146,NC(=O)C1=CN(C=CC1)[C@H]1O[C@@H](COP(O)(=O)OP(O)(=O)OC[C@@H]2O[C@@H]([C@@H](OP(O)(O)=O)[C@H]2O)N2C=NC3=C(N)N=CN=C23)[C@H](O)[C@@H]1O
np147,CCCCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C
np148,OC(=O)CC(=O)C(O)=O
np149,NCCOP(O)(O)=O
np150,OC(=O)CCCC(=O)C(O)=O
np151,OC(=O)C1=CC(=O)NC(=O)N1
np152,CC(O)(CCO)CC(O)=O
np153,OC1=CC=CC=C1
np154,NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)([O-])=O)[C@@H](O)[C@H]1O
np155,CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O
np156,OC(=O)C1=CC=CN=C1C(O)=O
np157,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
np158,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
np159,CCC(O)=O
np160,C[C@H](O)C(=O)C1=NC2=C(NC1)NC(N)=NC2=O
np161,CC1=C(O)C(CO)=C(CO)C=N1
np162,[O-]S([O-])=O
np163,CC1=C(CCC(O)=O)/C2=C/C3=N/C(=C\C4=C(C)C(C=C)=C(N4)/C=C4\N=C(\C=C\1/N\2)C(C=C)=C4C)/C(C)=C3CCC(O)=O
np164,CC(=O)C(O)=O
np165,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
np166,NCC1=C(CC(O)=O)C(CCC(O)=O)=CN1
np167,C1CCOC1
np168,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
np169,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O
np170,[O-]P([O-])(=O)OP([O-])([O-])=O
np171,NCCS(O)(=O)=O
np172,CCCCCCCCCCCCC\C=C\C(O)C(N)CO
np173,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])C2CC=C2C[C@H](O)CC[C@]12C
np174,OC(=O)CCC(O)=O
np175,CC(C)=CCC\C(C)=C/CC\C(C)=C\CC\C=C(/C)CC\C=C(/C)CCC=C(C)C
np176,[O-]S([S-])(=O)=O
np177,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
np178,NCCC1=CNC2=CC=C(O)C=C12
np179,CC1=CNC(=O)NC1=O
np180,OC(=O)C(=C)OP(O)(O)=O
np181,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O
np182,OC(=O)[C@@H]1CCC(=O)N1
np183,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])C2CC[C@]2([H])C[C@H](O)CC[C@]12C
np184,CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO
np185,CNCC(O)=O
np186,N[C@@H](COP(O)(O)=O)C(O)=O
np187,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O
np188,CCCCCCCCCCCCC\C=C\C(O)C(N)COP(O)(O)=O
np189,N[C@@H](CCCCN[C@@H](CCC(O)=O)C(O)=O)C(O)=O
np190,O[C@H]1[C@@H](O)[C@@H](O[P@](O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O
np191,OC[C@H]1OC(O)[C@H](O)[C@@H]1O
np192,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
np193,OC[C@@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@@H]2O[C@@H]([C@@H](O)[C@H]2O)N2C=CC(=O)NC2=O)[C@@H](O)[C@H](O)[C@H]1O
np194,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O
np195,O=C1NC2=C(N1)C(=O)NC(=O)N2
np196,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O
np197,COC1=C(O)C=CC(=C1)[C@H](O)C(O)=O
np198,O=C1NC2=C(NC=N2)C(=O)N1
np199,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=C(O)N=C2O
np200,NC(N)=O
np201,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
np202,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O
np203,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O
np204,O=C1NC=CC(=O)N1
np205,OC(=O)\C=C\C1=CNC=N1
np206,OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O
np207,NCCC1=CNC2=CC=CC=C12
np208,CC(=O)NC1C(O)C(O)C(CO)OC1OP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1O)N1C=CC(=O)NC1=O
np209,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
np210,NCCC1=CC=C(O)C=C1
np211,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)C[C@]2([H])C[C@H](O)C[C@@H](O)[C@]12C
np212,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C
